signal_date,strategy,ticker,signal
2026-05-10,swing,GGRM.JK,PRE_MARKUP
2026-05-10,swing,GJTL.JK,PRE_MARKUP
2026-05-10,swing,GSMF.JK,PRE_MARKUP
2026-05-10,swing,HEXA.JK,PRE_MARKUP
2026-05-10,swing,ICON.JK,PRE_MARKUP
2026-05-10,swing,IMJS.JK,PRE_MARKUP
2026-05-10,swing,IMPC.JK,PRE_MARKUP
2026-05-10,swing,IPOL.JK,PRE_MARKUP
2026-05-10,swing,JKON.JK,PRE_MARKUP
2026-05-10,swing,JTPE.JK,PRE_MARKUP
2026-05-10,swing,LPGI.JK,PRE_MARKUP
2026-05-10,swing,LPIN.JK,PRE_MARKUP
2026-05-10,swing,MAPI.JK,BREAKOUT
2026-05-10,swing,MDIA.JK,PRE_MARKUP
2026-05-10,swing,MIDI.JK,PRE_MARKUP
2026-05-10,swing,MLPL.JK,PRE_MARKUP
2026-05-10,swing,NIKL.JK,PRE_MARKUP
2026-05-10,swing,PADI.JK,PRE_MARKUP
2026-05-10,swing,PANS.JK,PRE_MARKUP
2026-05-10,swing,PKPK.JK,PRE_MARKUP
2026-05-10,swing,PNLF.JK,PRE_MARKUP
2026-05-10,swing,PTSP.JK,PRE_MARKUP
2026-05-10,swing,RBMS.JK,PRE_MARKUP
2026-05-10,swing,RICY.JK,PRE_MARKUP
2026-05-10,swing,SAME.JK,PRE_MARKUP
2026-05-10,swing,SDRA.JK,PRE_MARKUP
2026-05-10,swing,SMAR.JK,PRE_MARKUP
2026-05-10,swing,SMSM.JK,PRE_MARKUP
2026-05-10,swing,TALF.JK,PRE_MARKUP
2026-05-10,swing,TBMS.JK,PRE_MARKUP
2026-05-10,swing,TOTL.JK,PRE_MARKUP
2026-05-10,swing,ULTJ.JK,PRE_MARKUP
2026-05-10,swing,UNIC.JK,PRE_MARKUP
2026-05-10,swing,WINS.JK,PRE_MARKUP
2026-05-10,swing,JGLE.JK,PRE_MARKUP
2026-05-10,swing,OASA.JK,PRE_MARKUP
2026-05-10,swing,POWR.JK,PRE_MARKUP
2026-05-10,swing,PRDA.JK,PRE_MARKUP
2026-05-10,swing,MINA.JK,PRE_MARKUP
2026-05-10,swing,MPOW.JK,PRE_MARKUP
2026-05-10,swing,MARK.JK,PRE_MARKUP
2026-05-10,swing,PBID.JK,PRE_MARKUP
2026-05-10,swing,GHON.JK,PRE_MARKUP
2026-05-10,swing,PRIM.JK,PRE_MARKUP
2026-05-10,swing,TCPI.JK,PRE_MARKUP
2026-05-10,swing,IPCC.JK,PRE_MARKUP
2026-05-10,swing,BPTR.JK,PRE_MARKUP
2026-05-10,swing,LAND.JK,PRE_MARKUP
2026-05-10,swing,MOLI.JK,PRE_MARKUP
2026-05-10,swing,PANI.JK,PRE_MARKUP
2026-05-10,swing,URBN.JK,PRE_MARKUP
2026-05-10,swing,PEHA.JK,PRE_MARKUP
2026-05-10,swing,EAST.JK,PRE_MARKUP
2026-05-10,swing,KOTA.JK,PRE_MARKUP
2026-05-10,swing,OPMS.JK,PRE_MARKUP
2026-05-10,swing,ESIP.JK,PRE_MARKUP
2026-05-10,swing,REAL.JK,PRE_MARKUP
2026-05-10,swing,TAMA.JK,PRE_MARKUP
2026-05-10,swing,KBAG.JK,PRE_MARKUP
2026-05-10,swing,CSMI.JK,PRE_MARKUP
2026-05-10,swing,CASH.JK,PRE_MARKUP
2026-05-10,swing,EPAC.JK,PRE_MARKUP
2026-05-10,swing,ENZO.JK,PRE_MARKUP
2026-05-10,swing,BANK.JK,PRE_MARKUP
2026-05-10,swing,NPGF.JK,PRE_MARKUP
2026-05-10,swing,FLMC.JK,PRE_MARKUP
2026-05-10,swing,UVCR.JK,PRE_MARKUP
2026-05-10,swing,BOBA.JK,PRE_MARKUP
2026-05-10,swing,DEPO.JK,PRE_MARKUP
2026-05-10,swing,WMPP.JK,PRE_MARKUP
2026-05-10,swing,DRMA.JK,PRE_MARKUP
2026-05-10,swing,NTBK.JK,PRE_MARKUP
2026-05-10,swing,ASHA.JK,PRE_MARKUP
2026-05-10,swing,KRYA.JK,PRE_MARKUP
2026-05-10,swing,GULA.JK,PRE_MARKUP
2026-05-10,swing,KKES.JK,PRE_MARKUP
2026-05-10,swing,TOOL.JK,PRE_MARKUP
2026-05-10,swing,OMED.JK,PRE_MARKUP
2026-05-10,swing,CBRE.JK,PRE_MARKUP
2026-05-10,swing,VAST.JK,PRE_MARKUP
