date,ticker,ma20,ma50,ma200,ma_full_alignment,ma_partial_alignment,slope_ma20,golden_cross,price_vs_ma200,rsi14,macd,macd_signal,macd_histogram,roc5,roc20,high_52w,pct_from_52w_high,atr14,atr_breakout,vol_ratio_20d,vol_spike,obv_trend,atr_pct,bb_width,hist_vol_20d,supertrend_bullish,stoch_rsi_k,stoch_rsi_d,adx,adx_pos,adx_neg,squeeze_on,vwap_20d,price_vs_vwap,close,volume,trend_score,momentum_score,breakout_score,volume_score,penalty_score,news_score,foreign_score,total_score,enhanced_total_score,signal,entry_low,entry_high,tp_low,tp_high,cutloss,trade_setup_status
2026-05-19,ASPR.JK,332.75,251.06,142.54,True,True,37.69999999999999,False,225.52266030587907,66.0068218484875,49.9671887486636,46.65272021922603,3.314468529437569,40.6060606060606,96.61016949152543,620.0,-25.161290322580644,45.146473886146474,False,2.536097870208047,True,True,9.72984350994536,120.61472188749667,178.78569986580965,True,25.142929482603243,24.000802599965972,42.33052649722064,50.822128989767265,25.381376659208115,False,380.40000500288306,21.976864852166162,464.0,741634600,10.0,10.0,0.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,450,464,506,534,426,active
2026-05-19,GGRM.JK,15933.75,15126.5,13625.0,True,True,646.25,False,23.30275229357798,61.91267523444707,600.5327597816413,531.5868807094497,68.94587907219159,1.0526315789473717,18.938053097345133,17825.0,-5.750350631136045,609.1044826692953,False,1.0508263593174196,False,True,3.625621920650567,28.18489221983199,49.77525380832951,True,37.76986384872785,68.14551017179818,31.34651191663277,26.686219611843164,19.86590495912661,False,16074.205768171621,4.515272743773858,16800.0,1173400,10.0,10.0,2.0,5.0,0.0,5.0,5.0,6.25,6.25,PRE_MARKUP,16300,16800,18000,18800,15625,active
2026-05-19,PURA.JK,32.65,31.78,31.95,False,True,0.8999999999999986,False,25.195618153364634,71.42176016232487,1.1788212318371123,0.38180984246464006,0.7970113893724722,29.032258064516125,25.0,56.0,-28.57142857142857,1.6081713832027056,True,5.955393389717549,True,True,4.020428458006764,29.31968868306061,76.43444095227653,True,96.72184883286187,93.44369766572368,16.176209656226177,34.55742137816677,16.54958992539752,False,34.68191948773606,15.333870186004198,40.0,78769100,9.0,5.0,5.0,10.0,0.0,5.0,5.0,6.25,6.25,PRE_MARKUP,39,40,44,46,36,active
2026-05-19,TAMA.JK,194.7,159.94,70.82,True,True,18.19999999999999,False,230.41513696695853,67.49524068418148,24.150256667907087,20.944670739714457,3.2055859281926296,9.345794392523366,41.81818181818182,252.0,-7.142857142857142,13.847555570743165,False,0.9281952566011695,False,True,5.917758790915882,63.691369579417156,92.32864272704214,True,62.072921542815585,67.84075287469521,44.483814000094675,43.2839432410055,19.331300057311168,False,198.14423080182567,18.09579267237689,234.0,3194500,10.0,10.0,2.0,5.0,0.0,5.0,5.0,6.25,6.25,PRE_MARKUP,226,234,256,270,214,active
2026-05-19,MMIX.JK,335.9,273.12,217.84,True,True,27.099999999999966,False,69.84943077488064,68.23324187839883,30.406493756512532,28.916548746773902,1.48994500973863,2.777777777777768,32.14285714285714,410.0,-9.75609756097561,28.619010317857946,False,0.3938715451187547,False,True,7.734867653475121,40.316079696605996,99.17035290201626,True,67.51525162178672,78.2691454618094,55.98286518943524,31.254243742389015,11.23359923967471,False,324.9392897284808,13.867424376157139,370.0,2350200,10.0,10.0,2.0,5.0,0.0,5.0,5.0,6.25,6.25,PRE_MARKUP,358,370,404,426,340,active
2026-05-19,SMIL.JK,283.5,261.64,396.295,False,True,1.5,False,-24.298817799871312,59.51460393928971,7.469703629261744,6.268136008225543,1.201567621036201,9.48905109489051,4.895104895104896,790.0,-62.0253164556962,16.987886715202713,False,3.7896345905432915,True,True,5.662628905067571,13.906835917217153,53.468419899834274,True,78.64190155083338,87.3666909215005,18.01515429209849,19.71172519172784,26.409532036612514,False,282.95978349844444,6.022133707792167,300.0,46558200,9.0,10.0,0.0,10.0,0.0,5.0,5.0,6.25,6.25,PRE_MARKUP,292,300,328,346,276,active
2026-05-19,KJEN.JK,143.35,131.24,178.665,False,True,9.099999999999994,False,-6.528978815100883,62.532487210420825,8.98820978922916,5.874261375885048,3.1139484133441115,7.741935483870965,28.46153846153847,336.0,-50.297619047619044,14.000188086876062,False,1.8358183945989663,False,True,8.383346159806026,44.94385278560468,157.79931355556678,True,71.74547633344383,74.65596985441132,29.416403364181182,26.018096828401703,18.917296121512415,False,151.51647988575883,10.219033682616912,167.0,27828400,10.0,10.0,0.0,8.0,0.0,5.0,5.0,6.2,6.2,PRE_MARKUP,162,167,182,192,153,active
2026-05-19,PGJO.JK,828.75,723.6,913.0,False,True,24.5,False,-6.352683461117197,56.18970269439937,38.873897532570595,33.89835447879029,4.9755430537803065,6.875000000000009,6.875000000000009,1440.0,-40.625,44.76873864769251,False,1.998595977169368,False,True,5.2361097833558485,19.243866240794393,67.35264666644566,True,68.6105044862878,89.5368348287626,32.67675869011684,41.61647042269275,16.696395117716385,False,854.9813051307877,0.002186582221162646,855.0,654800,10.0,10.0,0.0,8.0,0.0,5.0,5.0,6.2,6.2,PRE_MARKUP,835,855,905,935,805,active
2026-05-19,RMKE.JK,3236.0,3164.8,3136.775,True,True,-22.5,False,5.20359286209562,51.435650318246864,-4.331851035557065,-20.403421782300725,16.07157074674366,2.8037383177569986,0.3039513677811634,9500.0,-65.26315789473685,174.17304001946948,False,2.29181610129868,False,True,5.277970909680894,7.389733091536021,41.41880124106204,True,56.22180570656777,60.3386394151528,13.371688500364767,18.385477301576298,17.25555803227645,True,3238.027806158332,1.9138870186291888,3300.0,37718400,10.0,10.0,0.0,10.0,2.0,5.0,5.0,6.1,6.1,PRE_MARKUP,3250,3300,3490,3610,3140,active
2026-05-19,DMAS.JK,145.55,137.96,136.2,True,True,3.9000000000000057,False,10.866372980910436,64.62576383690686,4.557823913636355,4.212334144200694,0.3454897694356607,-0.6578947368421018,10.21897810218979,159.0,-5.031446540880504,4.302800908997512,False,1.1042670862153732,False,True,2.849537025826167,19.049482376752294,26.149193036991434,True,58.389193551541204,65.5904372844096,55.523329195922074,30.728800758767623,3.1181515769834034,False,147.50274428071205,2.370976713919527,151.0,149306600,10.0,9.0,2.0,5.0,0.0,5.0,5.0,6.0,6.0,PRE_MARKUP,146,151,157,160,143,active
